"Report Written:","Monday, April 03, 2017"
"Design Path:","C:\Users\David\Documents\EV\LyteFyba\trunk\PCB\MidCMU.pcb"
"Design Title:",
"Created:","2/03/2012 9:46:00 AM"
"Last Saved:","3/04/2017 6:15:34 PM"
"Editing Time:","177327 min"
"Units:","mm (precision 4)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","THD-DNP","Component","Description","Value","Package","Manufacturer","MPN","Digikey","Mouser"
"SG1","1","THD","PIEZO_SMD","","4 kHz peak","PIEZO","","","http://www.digikey.com.au/products/en?keywords=PKM13EPYH4000","http://au.mouser.com/ProductDetail/Murata/PKM13EPYH4000-A0/?qs=%2fha2pyFaduiKfxxqbOaawJmdCmXhUW32T4KoJxoeBoZIM85GQXIOWQ%3d%3d"
"R1","1","DNP","R","Resistor","0R","SM","","","",""
"R18","1","","R","Resistor","5k1 1%","M1608","Yageo","RC0603FR-075K1L","https://www.digikey.com.au/product-detail/en/yageo/RC0603FR-075K1L/311-5.10KHRCT-ND/730215","http://au.mouser.com/ProductDetail/Yageo/RC0603FR-075K1L/?qs=sGAEpiMZZMu61qfTUdNhG5eFuApKbqVdaLE20T13hEQ%3d"
"R17","1","","R","Resistor","5k9 1%","M1608","Yageo","RC0603FR-075K9L","https://www.digikey.com.au/product-detail/en/yageo/RC0603FR-075K9L/311-5.90KHRCT-ND/730227","http://au.mouser.com/ProductDetail/Yageo/RC0603FR-075K90L/?qs=sGAEpiMZZMu61qfTUdNhG5eFuApKbqVdMWhx8xuHuK4%3d"
"R16","1","","R","Resistor","39R","M1608","Yageo","RC0603JR-0739RL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0739RL/311-39GRCT-ND/729726","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-0739RL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTa%252bSTPDv9L5lQAA2muhPhISj2RlnSUslAw%3d%3d"
"R19","1","","R","Resistor","39R","M1608","Yageo","RC0603JR-0739RL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0739RL/311-39GRCT-ND/729726","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-0739RL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTa%252bSTPDv9L5lQAA2muhPhISj2RlnSUslAw%3d%3d"
"R15","1","","R","Resistor","47k","M1608","Yageo","RC0603JR-0747KL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0747KL/311-47KGRCT-ND/729741","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-0747KL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTYLkrpUWkQDXjaiMKBpi4EwsdCisepajJQ%3d%3d"
"R10","1","","R","Resistor","47k","M1608","Yageo","RC0603JR-0747KL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0747KL/311-47KGRCT-ND/729741","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-0747KL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTYLkrpUWkQDXjaiMKBpi4EwsdCisepajJQ%3d%3d"
"R13","1","","R","Resistor","82R","M1608","Yageo","RC0603JR-0782RL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0782RL/311-82GRCT-ND/729781","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-0782RL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTfTzM%252buhn1HePII9inZWh8t33weAV6MT7w%3d%3d"
"R5","1","","R","Resistor","82R","M1608","Yageo","RC0603JR-0782RL","https://www.digikey.com.au/product-detail/en/yageo/RC0603JR-0782RL/311-82GRCT-ND/729781","http://au.mouser.com/ProductDetail/Yageo/RC0603JR-0782RL/?qs=%2fha2pyFaduiI%252b%2f%2fp%2fYhTTfTzM%252buhn1HePII9inZWh8t33weAV6MT7w%3d%3d"
